artist,title,bpm,genre,year
320,Chris Lake - to the point,126,DANCE ELECTRONIC,
702,U DON'T KNOW(,134.04,LATIN FREESTYLE,
_4am_Dt_The_Tunnel_Tribute_(Original_Mix).mp3,DJ Xtreme,,DANCE ELECTRONIC,
_4am_Dt_The_Tunnel_Tribute_(Original_Mix).mp3,DJ Xtreme,,HOUSE TRANCE,
_Joey_Seminara,_Danny_Nagels_-_Just_The_Tip_-_Hatiras_Vocal_Mix.mp3,,DANCE ELECTRONIC,
_Public_Enemy_-_Bring_The_Noise_-_Pump-kin_Remix.mp3,,,DANCE ELECTRONIC,
_Radio_Edit.mp3,Eric Arbores,,DANCE ELECTRONIC,
_Radio_Edit.mp3,Eric Arbores,,HOUSE TRANCE,
((Dance)),miguel reyes - Feels Like The First Time,130.04,LATIN FREESTYLE,
(Accapella) David Guetta,Just A Little More Love,128.88,LATIN FREESTYLE,
(Pure Pleazure),Start Over,126.06,LATIN FREESTYLE,
(Uc402) Delta 9,Here Comes The Sound,76.48,GHETTO HOUSE HARD HOUSE,
[1989] The Bass Boyz,Lost In The Bass (Bad Boy Bill's Mix) [1_3],126.19,90S HOUSE MUSIC,
[1990] C'hantal,- The Realm (Acapella) [4-4],0,90S HOUSE MUSIC,
& more,artie - 3 strikes,125.26,LATIN FREESTYLE,
& More,Let It Go,121.09,LATIN FREESTYLE,
& More,You'll Never Find Another Love [Acapella],120.7,LATIN FREESTYLE,
%Ôö¼├é La Tartine,Step Back (Original Mix),72.5,HIP HOP TRAP,
<Unknown>,Industry - Release Me (Accapella),128.05,LATIN FREESTYLE,
$NOT feat. ASAP Rocky,Doja (Super Clean) XMIXR,79,HIP HOP,
0066.5 Gwen Stefani ft. Slim Thug,Luxurious (remix),133,DIRTY SOUTH HIP HOP,
0068 Hustlin,(rmx)-Rick Ross Feat Busta,136,DIRTY SOUTH HIP HOP,
0068 pretty ricky and pitbull,everybody get up,134.99,DIRTY SOUTH HIP HOP,
0068 xLil Keke feat. Paul Wall & UGK,Chunk Up da Deuce,136,DIRTY SOUTH HIP HOP,
0081 Lil' Flip,Game Over,79.99,HIP HOP 2000'S,
0081 T.I.,24's remixed,81.01,HIP HOP 2000'S,
0082 Jay,z Brush Your Shoulder,81.93,HIP HOP 2000'S,
0083 The Game ft Tego Calderon,We Dont Love Them Hoes,83,HIP HOP 2000'S,
0084 J,Kwon - Party Over Here,84.16,HIP HOP 2000'S,
0084 Kelis feat Too Short,Im Bossy,84,DIRTY SOUTH HIP HOP,
0088 Gucci Mane,Trap House - 17 - Go Head,87.52,DIRTY SOUTH HIP HOP,
0090 acafool,hatablockas,90,DIRTY SOUTH HIP HOP,
0097 Ms New Booty,Bubba_Sparxxx,97,DIRTY SOUTH HIP HOP,
